Characteristic,G2019S_SAA_pos,G2019S_SAA_neg,N2081D_SAA_pos,N2081D_SAA_neg,R1441CG_SAA_pos,R1441CG_SAA_neg
N,85,35,22,5,4,11
"Age at baseline, years, mean (SD)",59.6 (8.7),68.7 (5.9),59.7 (9.4),67.4 (11.2),58.5 (15.2),66.5 (8.0)
"Years since diagnosis, median (IQR)","2.80 (1.08, 4.33)","2.67 (0.92, 3.87)","0.97 (0.33, 1.54)","4.70 (5.25, 5.58)","2.52 (0.96, 3.19)","3.15 (1.50, 5.00)"
"Age at disease onset, years, mean (SD)",56.8 (8.8),66.0 (6.23),58.7 (9.7),62.7 (11.1),55.9 (17.4),63.3 (9.08)
Male sex (%),47 (55.3),16 (45.7),14 (63.6),1 (20.0),2 (50.0),3 (27.3)
White (%),77 (90.6),33 (94.3),21 (95.5),5 (100),2 (50),5 (45.5)
Multiracial (%),4 (4.7),2 (5.7),1 (4.5),0,2 (50),6 (54.5)
Hispanic or Latino (%),16 (18.8),7 (20.0),0,0,3 (75),9 (81.8)
Education <12 years (%),8 (9.41),8 (22.9),1 (4.5),0,1 (25),7 (63.6)
Education 12-16 years (%),35 (41.2),14 (40.0),13 (59.1),4 (80),2 (50),3 (27.3)
Education >16 years (%),42 (49.4),13 (37.1),8 (36.4),1 (20),1 (25),1 (9.1)
Parent with PD (%),31 (36.5),16 (45.7),1 (4.5),2 (40),2 (50),5 (45.5)
Other relative with PD (%),29 (34.1),16 (45.7),5 (22.7),1 (20),3 (75),8 (72.7)
"MDS-UPDRS III at baseline, mean (SD)",20.6 (10.7),18.2 (8.8),17.4 (7.4),21.4 (6.2),17.3 (4.8),13.9 (3.8)
"MoCA at baseline, median (IQR)","26.7 (25.5, 28.5)","25.6 (24, 27.5)","26.9 (26, 28)","27.8 (28, 28)","28 (27.3, 29.3)","22.6 (20.5, 25)"
"DAT-SPECT caudate SBR, median (IQR)","1.88 (1.43, 2.31)","1.89 (1.47, 2.29)","2.07 (1.58, 2.48)","1.61 (1.39, 1.79)","1.84 (1.78, 1.97)","1.98 (1.73, 2.29)"
"DAT-SPECT putamen SBR, median (IQR)","0.72 (0.55, 0.85)","0.91 (0.59, 1.07)","0.81 (0.58, 1.05)","0.64 (0.49, 0.76)","0.67 (0.55, 0.80)","0.88 (0.69, 1.10)"
