Group,Quartile,UPDRS3_slope_95CI,UPDRS3_p,UPDRS1_slope_95CI,UPDRS1_p,MoCA_slope_95CI,MoCA_p,Caudate_slope_95CI,Caudate_p,Putamen_slope_95CI,Putamen_p
Sporadic,Q0,"2.47 (1.99, 2.94)",,"0.43 (0.29, 0.56)",,"-0.19 (-0.30, -0.07)",,"-0.11 (-0.13, -0.09)",,"-0.07 (-0.08, -0.05)",
Sporadic,Q1,"2.33 (1.89, 2.76)",,"0.55 (0.43, 0.67)",,"-0.16 (-0.26, -0.06)",,"-0.12 (-0.14, -0.09)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q1 vs Q0,"-0.14 (-0.76, 0.48)",0.66,"0.13 (-0.05, 0.30)",0.15,"0.03 (-0.12, 0.18)",0.71,"-0.01 (-0.03, 0.02)",0.58,"0.01 (-0.01, 0.02)",0.27
Sporadic,Q2,"2.32 (1.88, 2.76)",,"0.57 (0.44, 0.69)",,"-0.29 (-0.39, -0.18)",,"-0.14 (-0.16, -0.12)",,"-0.06 (-0.08, -0.05)",
Sporadic,Q2 vs Q0,"-0.15 (-0.77, 0.47)",0.64,"0.14 (-0.04, 0.32)",0.12,"-0.09 (-0.25, 0.06)",0.21,"-0.03 (-0.06, 0.00)",0.04,"0.00 (-0.01, 0.01)",0.87
Sporadic,Q3,"2.90 (1.92, 3.89)",,"0.62 (0.32, 0.92)",,"-0.34 (-0.61, -0.07)",,"-0.14 (-0.19, -0.09)",,"-0.05 (-0.08, -0.03)",
Sporadic,Q3 vs Q0,"0.43 (-0.65, 1.52)",0.43,"0.19 (-0.14, 0.52)",0.26,"-0.16 (-0.45, 0.13)",0.29,"-0.03 (-0.08, 0.02)",0.25,"0.01 (-0.01, 0.04)",0.39
LRRK2,Q0,"2.11 (1.27, 2.94)",,"0.31 (0.09, 0.53)",,"-0.09 (-0.27, 0.07)",,"-0.12 (-0.16, -0.08)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1,"2.82 (1.86, 3.78)",,"0.44 (0.17, 0.72)",,"-0.21 (-0.41, -0.02)",,"-0.12 (-0.16, -0.08)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1 vs Q0,"0.72 (-0.50, 1.93)",0.25,"0.13 (-0.21, 0.47)",0.44,"-0.12 (-0.36, 0.13)",0.36,"-0.01 (-0.06, 0.05)",0.85,"0.00 (-0.03, 0.03)",0.78
LRRK2,Q2,"2.54 (1.58, 3.49)",,"0.38 (0.12, 0.65)",,"0.01 (-0.19, 0.21)",,"-0.16 (-0.20, -0.11)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q2 vs Q0,"0.43 (-0.80, 1.66)",0.49,"0.07 (-0.26, 0.41)",0.67,"0.11 (-0.14, 0.37)",0.39,"-0.04 (-0.09, 0.02)",0.19,"0.00 (-0.03, 0.03)",0.91
LRRK2,Q3,"2.67 (1.91, 3.44)",,"0.33 (0.08, 0.58)",,"-0.09 (-0.29, 0.09)",,"-0.14 (-0.19, -0.09)",,"-0.08 (-0.10, -0.05)",
LRRK2,Q3 vs Q0,"0.34 (-0.89, 1.57)",0.58,"0.01 (-0.31, 0.33)",0.94,"0.00 (-0.25, 0.25)",0.99,"-0.02 (-0.08, 0.03)",0.43,"-0.01 (-0.04, 0.02)",0.59
GBA,Q0,"2.53 (1.09, 3.97)",,"0.46 (0.18, 0.74)",,"-0.29 (-0.53, -0.05)",,"-0.12 (-0.18, -0.06)",,"-0.06 (-0.08, -0.04)",
GBA,Q1,"2.06 (0.73, 3.39)",,"0.59 (0.32, 0.86)",,"-0.21 (-0.42, 0.01)",,"-0.13 (-0.18, -0.08)",,"-0.07 (-0.09, -0.06)",
GBA,Q1 vs Q0,"-0.48 (-2.41, 1.46)",0.62,"0.13 (-0.25, 0.52)",0.49,"0.08 (-0.24, 0.39)",0.61,"-0.02 (-0.09, 0.06)",0.70,"-0.01 (-0.04, 0.02)",0.41
GBA,Q2,"3.19 (1.78, 4.60)",,"0.49 (0.19, 0.77)",,"-0.35 (-0.59, -0.10)",,"-0.19 (-0.25, -0.14)",,"-0.08 (-0.09, -0.06)",
GBA,Q2 vs Q0,"0.66 (-1.33, 2.65)",0.51,"0.03 (-0.37, 0.43)",0.88,"-0.06 (-0.40, 0.28)",0.71,"-0.08 (-0.16, 0.00)",0.06,"-0.02 (-0.04, 0.01)",0.19
GBA,Q3,"2.98 (0.04, 5.92)",,"0.21 (-0.39, 0.81)",,"-0.09 (-0.59, 0.40)",,"-0.15 (-0.28, -0.02)",,"-0.10 (-0.15, -0.05)",
GBA,Q3 vs Q0,"0.45 (-2.83, 3.72)",0.78,"-0.25 (-0.91, 0.41)",0.45,"0.19 (-0.36, 0.74)",0.48,"-0.03 (-0.18, 0.11)",0.67,"-0.04 (-0.09, 0.01)",0.15
